id,title,description,acceptance_criteria,priority,area,dev_state,review_initial_state,review_regression_state,git_state,review_initial_requirements,review_regression_requirements,test_mcp,refs,notes
P013,Dispatch Agent - 轻量路由,"实现 Trellis 风格的 Dispatch Agent，纯路由不读规范。

功能点：
1. DispatchAgent - 调度 Agent
2. TaskClassifier - 任务分类器
3. ModelSelector - 模型选择器
4. SpecSelector - 规范选择器","1. 使用最低成本模型（Haiku）
2. 快速分类任务类型
3. 选择合适的执行 Agent 和模型
4. 选择需要注入的规范",P1,commander,已完成,已完成,已完成,已提交,"1. 分类延迟 < 1s
2. 不读取规范内容","1. 与 Commander 模式集成
2. 路由规则可配置",AUTOSERVER,"packages/core/src/commander/DispatchAgent.ts:1;packages/core/src/commander/Commander.ts:1","picked_reason:P1优先级且是Commander模式的路由组件;done_at:2026-02-03;evidence:46 tests passed"
P014,Quality Loop - 质量控制循环,"实现 Trellis 的 ralph-loop 质量控制循环。

功能点：
1. QualityLoop - 质量循环控制器
2. CheckAgent - 检查 Agent
3. FixAgent - 修复 Agent
4. IterationManager - 迭代管理","1. Check → Fix → Check 循环
2. 最多 3 轮迭代
3. 超过迭代次数需人工介入
4. 每轮结果可追溯",P1,cowork,已完成,已完成,已完成,已提交,"1. Check 使用 Opus 模型
2. Fix 使用低成本模型","1. 与 DebateView 互补
2. 可配置迭代次数",AUTOSERVER,"packages/core/src/cowork/QualityLoop.ts:1","picked_reason:P1优先级且是质量控制核心;done_at:2026-02-03;evidence:33 tests passed"
P015,CLI 命令 - Plan 模式命令,"实现 Plan 模式相关的 CLI 命令。

功能点：
1. /codeflow:plan-new - 创建新计划
2. /codeflow:plan-vision - 构建愿景
3. /codeflow:plan-constraints - 生成约束集
4. /codeflow:plan-ff - Fast-forward 生成所有工件
5. /codeflow:plan-execute - 执行计划","1. 命令可在 Claude Code 中使用
2. 支持参数传递
3. 命令帮助文档完整
4. 错误提示友好",P1,cli,未开始,未开始,未开始,未提交,"1. 命令格式符合 Claude Code 规范
2. 支持 Tab 补全","1. 与现有 Skill 系统兼容
2. 命令可组合使用",AUTOSERVER,"packages/core/src/commander/types.ts:1",
P016,CLI 命令 - 并行模式命令,"实现并行模式相关的 CLI 命令。

功能点：
1. /codeflow:parallel-start - 启动并行任务
2. /codeflow:parallel-status - 查看并行状态
3. /codeflow:parallel-compare - 对比方案
4. /codeflow:parallel-select - 选择方案
5. /codeflow:parallel-merge - 合并方案","1. 命令可在 Claude Code 中使用
2. 支持实时状态查看
3. 对比结果可视化
4. 合并操作可回滚",P1,cli,未开始,未开始,未开始,未提交,"1. 命令格式符合 Claude Code 规范
2. 状态输出格式化","1. 与 Worktree 管理器集成
2. 支持取消操作",AUTOSERVER,"packages/core/src/commander/types.ts:1",
P017,GUI - Plan 模式面板,"实现 Plan 模式的 GUI 组件。

功能点：
1. PlanModePanel - Plan 模式主面板
2. VisionEditor - 愿景编辑器
3. ConstraintList - 约束列表
4. ArtifactViewer - 工件查看器
5. PhaseProgress - 阶段进度","1. 可视化展示 Plan 模式各阶段
2. 支持编辑愿景和约束
3. 实时显示工件生成进度
4. 支持工件预览和编辑",P2,gui,未开始,未开始,未开始,未提交,"1. 与现有 PlanBoard 风格一致
2. 响应式设计","1. 与 Plan 模式核心集成
2. 支持深色模式",AUTOFRONTEND,"packages/gui/src/components/PlanBoard/PlanBoard.tsx:1",
P018,GUI - 并行模式面板,"实现并行模式的 GUI 组件。

功能点：
1. ParallelPanel - 并行模式主面板
2. WorkerStatusList - Worker 状态列表
3. SolutionCompare - 方案对比视图
4. DiffViewer - 代码差异查看器
5. MergePreview - 合并预览","1. 实时显示各 Agent 执行状态
2. 并排对比多个方案
3. 代码差异高亮显示
4. 合并前预览效果",P2,gui,未开始,未开始,未开始,未提交,"1. 与现有 AgentBoard 风格一致
2. 支持拖拽排序","1. 与并行执行器集成
2. 支持大文件差异",AUTOFRONTEND,"packages/gui/src/components/AgentBoard/AgentBoard.tsx:1",
P019,成本优化 - 模型路由规则,"实现基于任务类型的模型路由规则，优化成本。

功能点：
1. CostOptimizer - 成本优化器
2. TaskTypeRouter - 任务类型路由
3. ModelCostConfig - 模型成本配置
4. UsageTracker - 使用量追踪","1. 决策类任务使用 Opus
2. 代码生成使用 Haiku/Flash
3. 研究类使用 Sonnet
4. 成本节省 80%+",P1,commander,已完成,已完成,已完成,已提交,"1. 路由规则可配置
2. 支持自定义模型","1. 与现有适配器兼容
2. 不影响输出质量",AUTOSERVER,"packages/core/src/adapters/CostOptimizer.ts:1;packages/core/src/adapters/types.ts:1","picked_reason:P1优先级且是成本优化核心;done_at:2026-02-03;evidence:53 tests passed"
P020,集成测试 - Plan 模式完整流程,"Plan 模式端到端集成测试。

测试场景：
1. 愿景构建 → 约束提取 → 工件生成 → 执行
2. 中断恢复测试
3. 多用户并发测试","1. 完整流程可执行
2. 中断后可恢复
3. 多用户隔离正确",P1,test,未开始,未开始,未开始,未提交,"1. 覆盖主要路径
2. 包含边界情况","1. 不依赖外部 API（Mock）
2. 可重复执行",AUTOSERVER,"packages/core/src/cowork/__tests__/CoworkOrchestrator.test.ts:1",
P021,集成测试 - 并行模式完整流程,"并行模式端到端集成测试。

测试场景：
1. 创建 Worktree → 并行执行 → 评估 → 选择 → 合并
2. 冲突解决测试
3. 清理测试","1. 完整流程可执行
2. 冲突正确解决
3. 清理无残留",P1,test,未开始,未开始,未开始,未提交,"1. 覆盖主要路径
2. 包含异常情况","1. 不依赖外部 API（Mock）
2. 可重复执行",AUTOSERVER,"packages/core/src/cowork/__tests__/CoworkOrchestrator.test.ts:1",
P022,模型配置 - 可用模型注册表,"实现可用模型注册表，支持动态添加/移除模型。

功能点：
1. ModelRegistry - 模型注册表
2. ModelDefinition - 模型定义（名称/提供商/成本/能力）
3. registerModel() - 注册新模型
4. getAvailableModels() - 获取可用模型列表
5. ModelCapabilities - 模型能力标签","1. 支持注册 Claude/Gemini/OpenAI/本地模型
2. 每个模型有能力标签（coding/reasoning/frontend/backend）
3. 支持自定义模型
4. 模型列表可动态更新",P0,config,已完成,已完成,已完成,已提交,"1. 与现有适配器系统兼容
2. 支持热加载","1. 不影响现有模型调用
2. 配置持久化",AUTOSERVER,"packages/core/src/adapters/types.ts:1;packages/core/src/config/ConfigManager.ts:1;packages/core/src/config/ModelRegistry.ts:1","picked_reason:模型注册表是模型配置系统的基础;done_at:2026-02-03;evidence:57 tests passed"
P023,模型配置 - 阶段模型映射,"实现各阶段的模型映射配置，用户可自定义每个阶段使用的模型。

功能点：
1. PhaseModelMapping - 阶段模型映射
2. 默认映射配置
3. 用户自定义映射
4. 映射验证（检查模型是否支持该阶段）","1. 支持为每个阶段指定模型
2. 提供合理的默认配置
3. 用户可覆盖默认配置
4. 配置变更实时生效",P0,config,已完成,已完成,已完成,已提交,"1. 配置格式清晰易懂
2. 支持 JSON/YAML 格式","1. 与 Plan 模式各阶段兼容
2. 与并行模式兼容",AUTOSERVER,"packages/core/src/config/types.ts:1;packages/core/src/config/PhaseModelMapping.ts:1","picked_reason:依赖P022已完成;done_at:2026-02-03;evidence:41 tests passed"
P024,模型配置 - Agent 模型映射,"实现各 Agent 的模型映射配置，用户可自定义每个 Agent 使用的模型。

功能点：
1. AgentModelMapping - Agent 模型映射
2. Main Agent 模型配置
3. Coder Agent 模型配置
4. Research Agent 模型配置
5. Check Agent 模型配置
6. Dispatch Agent 模型配置","1. 支持为每个 Agent 指定模型
2. 支持为不同任务类型指定不同模型
3. 用户可覆盖默认配置
4. 配置变更实时生效",P0,config,已完成,已完成,已完成,已提交,"1. 与 Commander 模式兼容
2. 支持角色级配置","1. 不影响现有 Agent 调用
2. 配置可导出/导入",AUTOSERVER,"packages/core/src/commander/types.ts:1;packages/core/src/config/AgentModelMapping.ts:1","picked_reason:依赖P022已完成;done_at:2026-02-03;evidence:53 tests passed"
P025,GUI - 模型选择器组件,"实现通用的模型选择器 UI 组件。

功能点：
1. ModelSelector - 模型选择下拉框
2. ModelCard - 模型卡片（显示名称/提供商/成本/能力）
3. ModelFilter - 模型筛选（按能力/提供商筛选）
4. ModelSearch - 模型搜索","1. 下拉框显示所有可用模型
2. 显示模型关键信息（成本/能力）
3. 支持按能力筛选
4. 支持搜索模型",P0,gui,已完成,已完成,已完成,已提交,"1. 与现有 HotSwap 组件风格一致
2. 响应式设计","1. 可嵌入其他组件
2. 支持深色模式",AUTOFRONTEND,"packages/gui/src/components/HotSwap/HotSwapDropdown.tsx:1;packages/gui/src/components/ModelSelector/ModelSelector.tsx:1","picked_reason:P0优先级且依赖P022-P024已完成;done_at:2026-02-03;evidence:15 tests passed"
P026,GUI - 阶段模型配置面板,"实现 Plan 模式各阶段的模型配置 UI。

功能点：
1. PhaseModelConfig - 阶段模型配置面板
2. 愿景构建阶段模型选择
3. 约束提取阶段模型选择
4. 架构设计阶段模型选择
5. 代码实现阶段模型选择
6. 质量检查阶段模型选择
7. 一键恢复默认配置","1. 可视化展示各阶段当前模型
2. 点击可切换模型
3. 显示预估成本
4. 支持保存为预设",P1,gui,未开始,未开始,未开始,未提交,"1. 与 Plan 模式面板集成
2. 配置变更实时预览","1. 配置持久化
2. 支持导入/导出",AUTOFRONTEND,"packages/gui/src/components/PlanBoard/PlanBoard.tsx:1",
P027,GUI - Agent 模型配置面板,"实现各 Agent 的模型配置 UI。

功能点：
1. AgentModelConfig - Agent 模型配置面板
2. Main Agent 模型选择
3. Coder Agent 模型选择（可按任务类型细分）
4. Research Agent 模型选择
5. Check Agent 模型选择
6. 成本预估显示","1. 可视化展示各 Agent 当前模型
2. Coder Agent 支持按任务类型配置（frontend/backend/algorithm）
3. 显示预估成本对比
4. 支持保存为预设",P1,gui,未开始,未开始,未开始,未提交,"1. 与 AgentBoard 集成
2. 配置变更实时预览","1. 配置持久化
2. 支持团队共享预设",AUTOFRONTEND,"packages/gui/src/components/AgentBoard/AgentBoard.tsx:1",
P028,GUI - 并行模式模型配置,"实现并行模式中各 Worker 的模型配置 UI。

功能点：
1. ParallelModelConfig - 并行模型配置
2. Worker 模型选择（每个 Worker 可用不同模型）
3. 模型组合预设（如：Claude+Gemini+Codex）
4. 成本对比显示","1. 启动并行任务前可配置各 Worker 模型
2. 支持快速选择预设组合
3. 显示各模型预估成本
4. 支持保存自定义组合",P1,gui,未开始,未开始,未开始,未提交,"1. 与并行模式面板集成
2. 支持拖拽调整","1. 配置持久化
2. 预设可共享",AUTOFRONTEND,"packages/gui/src/components/AgentBoard/AgentBoard.tsx:1",
P029,GUI - 全局模型设置页面,"实现全局模型设置页面，集中管理所有模型配置。

功能点：
1. ModelSettingsPage - 模型设置页面
2. 可用模型管理（添加/移除/编辑）
3. API Key 管理
4. 默认模型配置
5. 成本限制设置
6. 使用统计展示","1. 集中管理所有模型
2. 安全存储 API Key
3. 设置成本上限告警
4. 查看历史使用统计",P1,gui,未开始,未开始,未开始,未提交,"1. 独立页面或 Modal
2. 敏感信息加密存储","1. 与隐私系统集成
2. 支持导出配置（不含 Key）",AUTOFRONTEND,"packages/gui/src/components/index.ts:1",
P030,成本追踪 - 实时成本显示,"实现实时成本追踪和显示。

功能点：
1. CostTracker - 成本追踪器
2. 实时 Token 计数
3. 实时成本计算
4. 成本告警（接近/超过预算）
5. 会话成本汇总","1. 实时显示当前会话成本
2. 按模型分类显示成本
3. 接近预算时告警
4. 会话结束显示成本汇总",P1,core,已完成,已完成,已完成,已提交,"1. 与各适配器集成
2. 成本计算准确","1. 不影响响应速度
2. 支持多币种显示",AUTOSERVER,"packages/core/src/adapters/CostTracker.ts:1;packages/core/src/adapters/index.ts:6","picked_reason:成本追踪是成本优化系统的核心组件;done_at:2026-02-03;evidence:40 tests passed"
P031,GUI - 成本显示组件,"实现成本显示 UI 组件。

功能点：
1. CostIndicator - 成本指示器（显示在状态栏）
2. CostBreakdown - 成本明细（按模型/阶段分类）
3. CostChart - 成本图表（趋势/分布）
4. BudgetAlert - 预算告警弹窗","1. 状态栏实时显示当前成本
2. 点击展开详细明细
3. 图表展示成本分布
4. 超预算时弹窗告警",P1,gui,未开始,未开始,未开始,未提交,"1. 与 MemoryIndicator 风格一致
2. 不遮挡主要内容","1. 数据实时更新
2. 支持隐藏/显示",AUTOFRONTEND,"packages/gui/src/components/MemoryIndicator/MemoryIndicator.tsx:1",
